2817073016;;;;
#poses;f;isConstant;;
0;1738.23;0;;
2;1738.23;0;;
3;1418.32;0;;
4;1306.69;0;;
5;1233.85;0;;
6;1250.79;0;;
7;1255.49;0;;
8;1266.44;0;;
9;1264.57;0;;
10;1260.55;0;;
11;1259.87;0;;
12;1253.11;0;;
13;1252.16;0;;
13;1253.42;0;;
14;1244.59;0;;
15;1247.04;0;;
16;1249.9;0;;
17;1246.63;0;;
18;1245.82;0;;
19;1245.4;0;;
20;1248.36;0;;
21;1249.61;0;;
22;1250.04;0;;
23;1252.74;0;;
24;1257.48;0;;
25;1257.32;0;;
26;1253.88;0;;
27;1251.97;0;;
28;1252.94;0;;
29;1251.99;0;;
30;1249.91;0;;
39;1244.04;0;;
41;1242.75;0;;
42;1243.47;0;;
43;1244.68;0;;
44;1244.64;0;;
45;1244.28;0;;
46;1247.96;0;;
47;1249.74;0;;
